series,index,velocity,inp_acc,inp_acc_norm,velocity_norm
14,2102,88.35759840981055,506.25,0.5789473684210527,0.7764284202186051
14,2103,88.35823953003761,506.25,0.5789473684210527,0.7764413099328191
14,2104,88.35886728516745,506.25,0.5789473684210527,0.7764539309419192
14,2105,88.35948195372322,506.25,0.5789473684210527,0.7764662888456098
14,2106,88.36008380842758,506.25,0.5789473684210527,0.7764783891269766
14,2107,88.36067311632323,506.25,0.5789473684210527,0.7764902371549101
14,2108,88.36125013889121,506.25,0.5789473684210527,0.7765018381864832
14,2109,88.36181513216653,506.25,0.5789473684210527,0.7765131973692765
14,2110,88.36236834685147,506.25,0.5789473684210527,0.7765243197436562
14,2111,88.36291002842647,506.25,0.5789473684210527,0.7765352102450036
14,2112,88.3634404172588,506.25,0.5789473684210527,0.7765458737058999
14,2113,88.363959748709,506.25,0.5789473684210527,0.7765563148582653
14,2114,88.36446825323493,506.25,0.5789473684210527,0.7765665383354527
14,2115,88.36496615649389,506.25,0.5789473684210527,0.776576548674299
14,2116,88.36545367944245,506.25,0.5789473684210527,0.7765863503171337
14,2117,88.36593103843428,506.25,0.5789473684210527,0.7765959476137443
14,2118,88.36639844531601,506.25,0.5789473684210527,0.7766053448233046
14,2119,88.36685610752086,506.25,0.5789473684210527,0.776614546116257
14,2120,88.36730422816065,506.25,0.5789473684210527,0.7766235555761625
14,2121,88.3677430061157,506.25,0.5789473684210527,0.7766323772015071
14,2122,88.36817263612289,506.25,0.5789473684210527,0.7766410149074734
14,2123,88.36859330886189,506.25,0.5789473684210527,0.7766494725276738
14,2124,88.3690052110396,506.25,0.5789473684210527,0.7766577538158483
14,2125,88.36940852547288,506.25,0.5789473684210527,0.7766658624475273
14,2126,88.36980343116954,506.25,0.5789473684210527,0.7766738020216613
14,2127,88.37019010340765,506.25,0.5789473684210527,0.7766815760622128
14,2128,88.37056871381311,506.25,0.5789473684210527,0.7766891880197191
14,2129,88.37093943043574,506.25,0.5789473684210527,0.7766966412728193
14,2130,88.3713024178237,506.25,0.5789473684210527,0.7767039391297526
