series,index,d_theta,theta,force1
0,45,-0.6373904108296741,-0.38424221688642246,0.0
0,46,-0.6409404498453741,-0.32571924442574435,0.0
0,47,-0.6439039397922386,-0.2669401456070923,0.0
0,48,-0.64627855291643,-0.2079516053246131,0.0
0,49,-0.6480624277372055,-0.14880019691386473,0.0
0,50,-0.6492541680414666,-0.089532404521817,0.0
0,51,-0.6498528421113167,-0.03019464725115467,0.0
0,52,-0.6498579821999478,0.02916669542904868,0.0
0,53,-0.6492695842792795,0.08850525664946363,0.0
0,54,-0.6480881080599294,0.14777465645149934,0.0
0,55,-0.6463144772213715,0.20692847663653585,0.0
0,56,-0.6439500799270766,0.2659202343924758,0.0
0,57,-0.640996769592806,0.32470335812247575,0.0
0,58,-0.6374568658880803,0.3832311650420627,0.0
0,59,-0.6333331559508253,0.4414568410290682,0.0
0,60,-0.628628895790428,0.4993334232037229,0.0
0,61,-0.6233478118492946,0.5568137857074863,0.0
0,62,-0.6174941026885578,0.6138506291279275,0.0
0,63,-0.6110724407600995,0.6703964739890982,0.0
0,64,-0.6040879742210176,0.7264036587241414,0.0
0,65,-0.59654632874493,0.7818243424972187,0.0
0,66,-0.5884536092790927,0.836610513231251,0.0
0,67,-0.579816401693495,0.8907140011583299,0.0
0,68,-0.570641774266789,0.9440864981634309,0.0
0,69,-0.5609372789767407,0.9966795831741708,0.0
0,70,-0.550710952390471,1.0484447538124668,0.0
0,71,-0.5399713163789189,1.0993334644031436,0.0
0,72,-0.5287273783050207,1.149297170510265,0.0
0,73,-0.5169886307604331,1.1982873800304592,0.0
0,74,-0.5047650507607808,1.2462557108282826,0.0
0,75,-0.4920670983304879,1.2931539548755961,0.0
0,76,-0.47890571441490026,1.3389341487667472,0.0
0,77,-0.46529231805556404,1.3835486504374006,0.0
0,78,-0.4512388027697127,1.4269502218393209,0.0
0,79,-0.4367575320728686,1.4690921172806073,0.0
0,80,-0.42186133409246696,1.5099281770547068,0.0
0,81,-0.4065634739917042,1.5494130008417775,0.0
0,82,-0.3908777088671031,1.5875018224651982,0.0
0,83,-0.37481821848915514,1.6241508480902793,0.0
0,84,-0.3583996156393568,1.6593172878434839,0.0
0,85,-0.3416369355263557,1.6929594682494715,0.0
0,86,-0.32454562403219067,1.7250369466691322,0.0
0,87,-0.3071415248447803,1.7555106267177853,0.0
0,88,-0.28944086636603106,1.7843428715983929,0.0
0,89,-0.27146024456654166,1.8114976247699872,0.0
0,90,-0.25321660663161677,1.8369405230643132,0.0
0,91,-0.23472723545994215,1.8606390042891525,0.0
0,92,-0.21600973009844,1.8825624182928802,0.0
0,93,-0.1970819860975647,1.9026821318794258,0.0
0,94,-0.17796217483674354,1.9209716290114869,0.0
0,95,-0.15866872187292264,1.937406605477022,0.0
0,96,-0.13922028437601797,1.951965057225836,0.0
0,97,-0.11963572771439744,1.964627361636795,0.0
0,98,-0.0999341012665336,1.9753763510174556,0.0
0,99,-0.0801346135386542,1.9841973777007518,0.0
0,100,-0.06025660667589085,1.9910783701681602,0.0
0,101,-0.04031953046107659,1.9960098797028742,0.0
0,102,-0.02034291589148214,1.998985117161664,0.0
0,103,-0.0003463484446930166,1.9999999795302428,0.0
0,104,0.019650559078578163,1.999053066071149,0.0
0,105,0.03962819299520148,1.9961456837318843,0.0
0,106,0.05956696641768204,1.9912818420840959,0.0
0,107,0.07944734601576951,1.9844682375642084,0.0
0,108,0.09924987875334491,1.9757142272741686,0.0
0,109,0.11895521832187161,1.9650317925603866,0.0
0,110,0.1385441511605806,1.952435492694831,0.0
0,111,0.15799762196292355,1.937942409073132,0.0
0,112,0.17729675858293176,1.9215720804186085,0.0
0,113,0.19642289624836334,1.9033464295638383,0.0
0,114,0.21535760100373638,1.8832896824408936,0.0
0,115,0.234082692306932,1.8614282799750796,0.0
0,116,0.2525802647114501,1.8377907836275256,0.0
0,117,0.2708327085775954,1.812407775367518,0.0
